country,country_code,region,cum_confirmed,infection_rate (per mille),income group,WJP Rule of Law Index: Overall Score,Factor 1: Constraints on Government Powers,1.1 Government powers are effectively limited by the legislature,1.2 Government powers are effectively limited by the judiciary,1.3 Government powers are effectively limited by independent auditing and review,1.4 Government officials are sanctioned for misconduct,1.5 Government powers are subject to non-governmental checks,1.6 Transition of power is subject to the law,Factor 2: Absence of Corruption,2.1 Government officials in the executive branch do not use public office for private gain,2.2 Government officials in the judicial branch do not use public office for private gain,2.3 Government officials in the police and the military do not use public office for private gain,2.4 Government officials in the legislative branch do not use public office for private gain,Factor 3: Open Government ,3.1. Publicized laws and government data ,3.2 Right to information,3.3 Civic participation,3.4 Complaint mechanisms,Factor 4: Fundamental Rights,4.1 Equal treatment and absence of discrimination,4.2 The right to life and security of the person is effectively guaranteed,4.3 Due process of the law and rights of the accused,4.4 Freedom of opinion and expression is effectively guaranteed,4.5 Freedom of belief and religion is effectively guaranteed,4.6 Freedom from arbitrary interference with privacy is effectively guaranteed,4.7 Freedom of assembly and association is effectively guaranteed,4.8 Fundamental labor rights are effectively guaranteed,Factor 5: Order and Security,5.1 Crime is effectively controlled,5.2 Civil conflict is effectively limited,5.3 People do not resort to violence to redress personal grievances,Factor 6: Regulatory Enforcement,6.1 Government regulations are effectively enforced,6.2 Government regulations are applied and enforced without improper influence,6.3 Administrative proceedings are conducted without unreasonable delay,6.4 Due process is respected in administrative proceedings,6.5 The government does not expropriate without lawful process and adequate compensation,Factor 7: Civil Justice,7.1 People can access and afford civil justice,7.2 Civil justice is free of discrimination,7.3 Civil justice is free of corruption,7.4 Civil justice is free of improper government influence,7.5 Civil justice is not subject to unreasonable delay,7.6. Civil justice is effectively enforced,"7.7 Alternative dispute resolution mechanisms are accessible, impartial, and effective",Factor 8: Criminal Justice,8.1 Criminal investigation system is effective,8.2 Criminal adjudication system is timely and effective,8.3 Correctional system is effective in reducing criminal behavior,8.4 Criminal system is impartial,8.5 Criminal system is free of corruption,8.6 Criminal system is free of improper government influence,8.7. Due process of the law and rights of the accused
Barbados,BRB,Latin America & Caribbean,79.0,0.2752411844429502,High,0.6462713626697221,0.627676081766187,0.6980731454998571,0.7142478900498102,0.428913386151713,0.4188622436856779,0.706491563669125,0.7994682615409421,0.696032921292949,0.6278706205887591,0.8883070844440151,0.8178668359679949,0.450087144171027,0.517994220686782,0.245857318687529,0.521669156133231,0.698351247907221,0.6060991600191479,0.7253986594143058,0.6207351621551229,0.8264358977535831,0.565849073558807,0.706491563669125,0.8138737863472021,0.7902495440263599,0.774828525825088,0.7047257219791601,0.785760594707015,0.893395817643514,1.0,0.46388596647752894,0.599683073160828,0.547969547187142,0.771423188719943,0.319338413945182,0.674636364253321,0.685047851698551,0.6432780775419829,0.7296450128177859,0.673903597652511,0.792104847992475,0.753014186062,0.31013188378640694,0.524898848120301,0.7192481663624001,0.5743472727877261,0.506490965492131,0.42914662476755,0.5592001250373511,0.43178087979344004,0.7698340016972959,0.7581292391675121,0.565849073558807
Belarus,BLR,Eastern Europe & Central Asia,9590.0,1.0145561835083523,Upper Middle,0.514191423428048,0.35551624201462,0.271392642261313,0.28266914595392606,0.496145243524279,0.542601505990896,0.250013491785523,0.290275422571784,0.544370371192272,0.44585366536195703,0.7301211167690821,0.6601316294235021,0.34137507321454896,0.361656397940216,0.235969099472892,0.356600473786399,0.3291757276503,0.524880290851274,0.46972760390198104,0.705240215705552,0.6162345321139829,0.432383062441545,0.250013491785523,0.606707016080866,0.32326008769230796,0.3592066604382879,0.46477576495778394,0.803063003840812,0.88121567919472,1.0,0.5279733323277159,0.508421135417174,0.63666855417102,0.5666216429776899,0.64274520780192,0.35349039876816496,0.342579873367076,0.601162775647244,0.605158593458219,0.6822483653661681,0.623531541082534,0.273330038144719,0.8303628827846321,0.5322717936885479,0.661236215005889,0.469613857470066,0.528323832396734,0.6002572784413229,0.427912214004764,0.606480725159658,0.5600081874797039,0.131931702366732,0.432383062441545
Belgium,BEL,EU & EFTA & North America,45325.0,3.9278723904671726,High,0.78741061624632,0.825745403358062,0.8254792399440071,0.783840918500322,0.8967380816663549,0.74987721359484,0.8033675161779359,0.8951694502649119,0.800641443759331,0.7709439764434391,0.943027234511512,0.891153870902729,0.597440693179646,0.760880727506278,0.702760545391881,0.642687161653349,0.8163276998834771,0.8817475030964049,0.8379334500582599,0.7815341020868821,0.951569409534773,0.7916937365578979,0.8033675161779359,0.815291952365669,0.8977866061760259,0.850519123410598,0.8117051541563021,0.8095049828089641,0.849769882633605,0.89,0.688745065793289,0.7988758399921009,0.741320018409754,0.877726994834197,0.6829270742518491,0.783721138166865,0.9086839742978381,0.7587861306903309,0.722598882919678,0.8028084981445709,0.8329391963284449,0.866495151740015,0.449402943262394,0.818859701882794,0.818398540554419,0.706916951797231,0.58028935708867,0.666928256389473,0.543238365234504,0.677688416409436,0.828369995009817,0.860210535890822,0.7916937365578979
Belize,BLZ,Latin America & Caribbean,18.0,0.046112345043307176,Upper Middle,0.47816481977411407,0.437739771851014,0.497714290431622,0.5050585197977799,0.255949767100563,0.24442712641739997,0.516683926281739,0.606605001076982,0.43419451043597707,0.37604720854787,0.601672867612282,0.52481207925768,0.234245886326076,0.45097676746021204,0.36010992843294504,0.391703124600803,0.523071385812092,0.5290226309950089,0.497574910736901,0.505911306757448,0.5774373357915179,0.378139339710591,0.516683926281739,0.535392957731456,0.379754919051211,0.5650771609788979,0.522202339592342,0.700338640110363,0.664755809035494,1.0,0.436260111295594,0.42992682271851296,0.44275583584575506,0.558742136656265,0.369908433202928,0.299598446615697,0.47862926127191996,0.5125959790254999,0.5219968860635871,0.46687270504388506,0.602397937618525,0.5038095424260179,0.469142455227527,0.39315472942797,0.630797597370991,0.3619711558544289,0.32987297989221903,0.354580333418342,0.19567237259387102,0.384454178485819,0.480510024210802,0.410568862669355,0.378139339710591
Benin,BEN,Sub-Saharan Africa,54.0,0.004575824849626956,Low,0.496934385411625,0.5291151941862651,0.535888778471569,0.446766177374164,0.418509275372956,0.49493001979135404,0.5127197387221261,0.765877175385417,0.382924852798587,0.44294251286115705,0.463782288703065,0.453308351934264,0.17166625769586097,0.411829453252923,0.28530710557715194,0.37540350784791,0.547733930922297,0.43887326866433396,0.5444778512954099,0.675196967929419,0.483525752132942,0.490322724840364,0.5127197387221261,0.76931101899387,0.22769604413667605,0.6287117533746961,0.568338810233184,0.761999667605578,0.7742279880927192,1.0,0.511771014724016,0.501163049841633,0.503097182258489,0.6991683701897,0.355073984905831,0.376892435216104,0.57158327663804,0.4123739464359821,0.407551974791236,0.559388342010583,0.394623600261906,0.327515744308968,0.37451997252272395,0.356685702325081,0.46633228883137395,0.431591067876623,0.370115726865581,0.37611329306169006,0.312131137571991,0.733257819938668,0.41719618726496505,0.322000585593103,0.490322724840364
Bolivia,BOL,Latin America & Caribbean,866.0,0.07521865089009028,Lower Middle,0.383338808744774,0.36232946797817206,0.35826279228593894,0.276938421292925,0.32697257071838104,0.30859761703832,0.45774912702089005,0.44545627951257705,0.265419930273559,0.360201171504846,0.182190856581535,0.284877180499428,0.23441051250842898,0.43066231383997905,0.32030856900481103,0.42158524518359297,0.467996592655067,0.512758848516445,0.46336280307811,0.399357958952295,0.46234716711407403,0.330042888339581,0.45774912702089005,0.640237443322651,0.353462175194738,0.534393532673049,0.5293121320075991,0.589446183026373,0.577508880723933,1.0,0.19082966835518497,0.402037059627311,0.458016427104863,0.488955576332039,0.45522495857867606,0.18581733133589898,0.4221710047850771,0.328549774501229,0.4679396599497879,0.334237079287166,0.21898069007517001,0.19926157282739002,0.22010376124299302,0.298316637003194,0.561009021122897,0.224902937633463,0.21094574029653895,0.138379663085229,0.17427519858525697,0.319052010572203,0.23366348807008397,0.16796157448534696,0.330042888339581
Bosnia and Herzegovina,BIH,Eastern Europe & Central Asia,1486.0,0.45016688892268336,Upper Middle,0.5202307425541479,0.449990969205937,0.532250851029177,0.38206821336274793,0.47119117652160397,0.36244820608861894,0.43730502774768004,0.514682340485793,0.436248977085279,0.360412699418091,0.568130046507209,0.58358797865673,0.232865183759087,0.47200000699883604,0.451036960545914,0.488371082473418,0.43626891458081796,0.512323070395193,0.590384241796832,0.597589997382556,0.698887209707595,0.6295390803479761,0.43730502774768004,0.642535302874462,0.519999980799999,0.552512322546481,0.6447050129679079,0.76387742231262,0.850642512607643,1.0,0.440989754330216,0.489277917335123,0.4330916143282729,0.5369506097194829,0.408977614526745,0.445714891456038,0.621654856645073,0.48096314393363393,0.574082021300598,0.583882146123447,0.473526611582092,0.440007041456508,0.29286993132678096,0.322781609579352,0.6795926461666569,0.479103261764924,0.423793954817395,0.557677800854235,0.4366653594661579,0.495071517394449,0.482005167776895,0.328969951697362,0.6295390803479761
Botswana,BWA,Sub-Saharan Africa,22.0,0.009549842145450174,Upper Middle,0.6004287324839289,0.61514876564542,0.6275668385720621,0.6246599813322851,0.515482172653121,0.5642836195727521,0.59342015548516,0.765479826257139,0.59068166555786,0.5455551584749639,0.763516877141912,0.737269130628899,0.316385495985665,0.49767745354945103,0.20948476191531604,0.543575053732206,0.636439878624152,0.601210119926129,0.58390560132615,0.6513505534865269,0.5984419336048629,0.583231669782229,0.59342015548516,0.598360813671836,0.387015213910956,0.683533927691735,0.575890542975895,0.710551725517381,0.660745775698218,1.0,0.470909400853926,0.609742258279158,0.5554009104626619,0.7308621752062249,0.424471428111275,0.6215260722600079,0.716450705355622,0.6082208277878779,0.507344510248829,0.595721905098989,0.681087552301511,0.652936829894636,0.49898243688074895,0.6425555854088871,0.678916974681543,0.587501562208136,0.4193445176830321,0.543394373704991,0.610772748735521,0.616428726198309,0.6886765165890041,0.650662382763866,0.583231669782229
Brazil,BRA,Latin America & Caribbean,59324.0,0.2810904297772885,Upper Middle,0.515090149899899,0.5324238368878139,0.68009012160007,0.633965974419848,0.436938184368338,0.29600103078678697,0.544331258970695,0.603216451181146,0.446688087331595,0.38891662349566497,0.7325074481199129,0.593447767852547,0.071880509858256,0.6108819519543449,0.7116365847968359,0.613162242960272,0.542381253294888,0.576347726765385,0.5098604824192909,0.5127160442347171,0.477336513680415,0.352352750586235,0.544331258970695,0.5898303765460989,0.523398683426759,0.610537192923957,0.468381038985449,0.637544599934335,0.509402536510581,1.0,0.40323126329242404,0.510710300088338,0.513097320816747,0.610872975435311,0.297295730483792,0.49756229212744707,0.6347231815783921,0.536527815645323,0.626453515076119,0.548693428677108,0.671558727836345,0.587425626267621,0.27511609931785497,0.409819169825936,0.636628142516277,0.33608412493814804,0.27861153942094397,0.269471160886653,0.164132404084007,0.150514499760265,0.551754796168568,0.585751723660364,0.352352750586235
Bulgaria,BGR,EU & EFTA & North America,1247.0,0.1781398796620114,Upper Middle,0.546990617498422,0.46186641461647704,0.525673392357954,0.39410057756840794,0.397343451095455,0.321446271469617,0.606340127628295,0.526294667579134,0.44016785460894003,0.41198797563695294,0.584209449559977,0.6271216196179871,0.137352373620842,0.559277150649549,0.562584557286342,0.461672820507733,0.600684910522908,0.6121663142812139,0.6051634921343709,0.592750272564834,0.64187382512411,0.579715190519724,0.606340127628295,0.7165783173178101,0.404772675993181,0.670919200020521,0.628358327906492,0.768202059974898,0.8299518157728009,1.0,0.47465436415189505,0.532789797279247,0.659056820183271,0.619513438190311,0.5502255127395781,0.333959529151221,0.5011936861318529,0.5551141111048471,0.688910039554278,0.5835036638343121,0.49536399073834003,0.375058301278153,0.4167327371481939,0.654840993006901,0.671389052173751,0.45334405961904795,0.36698633476837894,0.566636516966555,0.29840273292349795,0.5388028001419051,0.490922493994454,0.331942348018819,0.579715190519724
Burkina Faso,BFA,Sub-Saharan Africa,629.0,0.03095261774260147,Low,0.508553265760871,0.560571989528478,0.642924287241,0.5295145107282151,0.5132190729924371,0.433078444443281,0.6124781682709449,0.6322174534949889,0.42292133251835207,0.438286046019284,0.47751696372491204,0.545362692831692,0.230519627497519,0.47192736130721397,0.304029576388902,0.492638290256835,0.594073978573857,0.49696760000926204,0.566291157246202,0.658340630735696,0.5701148566600329,0.466063015164066,0.6124781682709449,0.69090590248512,0.35950223782122204,0.655911218202108,0.51701322863043,0.623477382200465,0.709548486872593,0.7275,0.433383659728802,0.475304957363331,0.428545568618786,0.560503200648744,0.404962027505652,0.38698194952176007,0.595532040521712,0.46142382411882504,0.376226753110456,0.536432303216626,0.382218339178996,0.45275061498189895,0.48687781458313895,0.38585460191264503,0.609606341848015,0.48650812180409797,0.405520148090592,0.5155860685012671,0.422482956819951,0.59870426572727,0.47794200747942,0.5192583908461179,0.466063015164066
Cambodia,KHM,East Asia & Pacific,122.0,0.007399975082706852,Lower Middle,0.32555171349977197,0.29135676768693497,0.3942816496591479,0.252216268911302,0.22559314109176104,0.26502162901409804,0.30208451137874,0.30894340606656107,0.236974478603858,0.26827609946277897,0.13815602566455498,0.22947389687354602,0.311991892414553,0.271151972322968,0.20605925413634502,0.25421310423018,0.3365067273402981,0.28782880358504903,0.34815470750593797,0.455273512814022,0.223095093656366,0.26844673395927204,0.30208451137874,0.47533842886853905,0.17634805963321898,0.39594962681939705,0.488701692917952,0.666322531663187,0.810846201775635,1.0,0.18812139321392604,0.27231206089941895,0.236052850210017,0.240063866665425,0.42356769090155294,0.16440352517585802,0.297472371544241,0.255936724223013,0.356948858444743,0.185787422230803,0.113596460433346,0.17847145669846698,0.270992926195609,0.268575843706243,0.41718410185188204,0.262204465092861,0.348175210769051,0.39328883566009,0.266064062774452,0.234815689086306,0.166050007804159,0.158590715596697,0.26844673395927204
Cameroon,CMR,Sub-Saharan Africa,1518.0,0.05866352207516451,Lower Middle,0.35938210361451,0.36980600485315,0.390473747300836,0.30412634978669606,0.408161287058848,0.38596939727054,0.36334502755728004,0.366760220144698,0.25502366790090303,0.28822018131976,0.27609445816656203,0.275554930495657,0.180225101621635,0.337219490743239,0.20273263594375898,0.349574217630236,0.387472960381787,0.409098149017175,0.359286412742616,0.446350450905561,0.18042025737834,0.286330265849652,0.36334502755728004,0.601344518239319,0.074575166949942,0.4608292546427079,0.461096360418128,0.483061521474552,0.6064197268877359,0.5275,0.315264837535919,0.415014415575144,0.41629102416971103,0.468792877014221,0.297983658898772,0.401047088273183,0.49095742951983506,0.411845546241782,0.49745547785031297,0.414872604628421,0.32072423286924,0.255247802663567,0.44572796879160703,0.3810906547107371,0.567800082178588,0.243799769384691,0.28355334206331295,0.271942823136114,0.15205670387382503,0.36466876152301403,0.23838798945643105,0.10965849979048801,0.286330265849652
Canada,CAN,EU & EFTA & North America,45492.0,1.2160047523941997,High,0.80738650502263,0.8360216441398359,0.802252042665391,0.8471331055223841,0.7994832801076721,0.772081591671693,0.84801686728236,0.9471629775895161,0.8344898644073481,0.7951262479679542,0.952100375631636,0.879667560185922,0.711065273843879,0.8067065613169591,0.877630200169558,0.663128443427316,0.84329307453898,0.842774527131984,0.819879784086011,0.6752733014794439,0.9414965849010379,0.7825428872063341,0.84801686728236,0.8203210525603659,0.8902476546710971,0.8729291828715942,0.728210741715854,0.9055272682783921,0.913664851779585,1.0,0.8029169530555931,0.811334266528521,0.7627092397418271,0.9454003370136371,0.7137881162398191,0.8778915806432008,0.756882059004121,0.7041394067608041,0.583922918847795,0.5740344709276,0.897256799119697,0.888357315328542,0.473613979183932,0.7451716347554069,0.766618729162658,0.74099324466317,0.693989823559749,0.6746266169761871,0.694049518245915,0.531793886655541,0.84737420871636,0.9625757712821059,0.7825428872063341
